feature,feature_raw,importance
Years of Experience,years_experience,0.28163695
Company Size,size_encoded,0.08467475
Experience Level,exp_level_encoded,0.07344681
Country: India,ctry_INDIA,0.05773301
Country: China,ctry_CHINA,0.048682414
Country: Switzerland,ctry_SWITZERLAND,0.03524444
Country: Denmark,ctry_DENMARK,0.025023663
Country: Norway,ctry_NORWAY,0.023738502
Country: South Korea,ctry_SOUTH KOREA,0.020601537
Country: United States,ctry_UNITED STATES,0.016722476
Country: Austria,ctry_AUSTRIA,0.01645677
Country: Israel,ctry_ISRAEL,0.015118038
Country: Finland,ctry_FINLAND,0.015033857
Country: Ireland,ctry_IRELAND,0.012159293
Country: Japan,ctry_JAPAN,0.010045443
Country: United Kingdom,ctry_UNITED KINGDOM,0.0065314523
Country: Singapore,ctry_SINGAPORE,0.0062775407
Country: Netherlands,ctry_NETHERLANDS,0.005376889
Country: Canada,ctry_CANADA,0.0025217426
Country: France,ctry_FRANCE,0.0021886749
Country: Sweden,ctry_SWEDEN,0.0012713703
SkillVec[65],skill_emb_65,0.0008048404
SkillVec[10],skill_emb_10,0.0005678097
SkillVec[20],skill_emb_20,0.0005629084
JD Length,job_description_length,0.0005426862
SkillVec[18],skill_emb_18,0.00053563336
Country: Germany,ctry_GERMANY,0.0005179803
SkillVec[94],skill_emb_94,0.00048038198
SkillVec[4],skill_emb_4,0.00047346417
SkillVec[51],skill_emb_51,0.0004599583
Remote Ratio,remote_ratio,0.0004549704
SkillVec[60],skill_emb_60,0.00044948142
SkillVec[73],skill_emb_73,0.0004168669
SkillVec[3],skill_emb_3,0.00038169805
SkillVec[64],skill_emb_64,0.00037930263
SkillVec[69],skill_emb_69,0.00036084338
SkillVec[37],skill_emb_37,0.00034400317
SkillVec[16],skill_emb_16,0.00033574938
SkillVec[88],skill_emb_88,0.000314478
SkillVec[68],skill_emb_68,0.00030888576
SkillVec[79],skill_emb_79,0.00030587558
SkillVec[41],skill_emb_41,0.0002891721
Benefits Score,benefits_score,0.00026909306
Country: Australia,ctry_AUSTRALIA,0.00026642825
SkillVec[67],skill_emb_67,0.00026147536
SkillVec[98],skill_emb_98,0.00025740155
SkillVec[74],skill_emb_74,0.0002566262
SkillVec[44],skill_emb_44,0.00023975575
SkillVec[36],skill_emb_36,0.00022681661
SkillVec[86],skill_emb_86,0.00022511561
SkillVec[43],skill_emb_43,0.00022336983
SkillVec[6],skill_emb_6,0.00020810397
Days to Deadline,days_to_deadline,0.00020725024
SkillVec[90],skill_emb_90,0.00020519354
SkillVec[85],skill_emb_85,0.00019519418
SkillVec[56],skill_emb_56,0.00018937369
SkillVec[8],skill_emb_8,0.00017875443
SkillVec[5],skill_emb_5,0.00017456208
Post Month,post_month,0.00015230617
SkillVec[30],skill_emb_30,0.00014993189
SkillVec[42],skill_emb_42,0.0001489825
SkillVec[97],skill_emb_97,0.00014849304
SkillVec[55],skill_emb_55,0.00014731208
SkillVec[15],skill_emb_15,0.0001373898
SkillVec[32],skill_emb_32,0.00013619466
SkillVec[71],skill_emb_71,0.00012499565
SkillVec[47],skill_emb_47,0.00012483865
SkillVec[93],skill_emb_93,0.00012319609
