job_title,salary_usd,experience_level,employment_type,company_size,remote_ratio,education_required,years_experience,industry,posting_date,benefits_score,country,exp_label,exp_order,size_label,size_order,post_year,post_month,post_ym
AI Research Scientist,90376.0,SE,CT,M,50,Bachelor,9,Automotive,2024-10-18,5.9,CHINA,Senior (SE),3,Medium (M),2,2024,10,2024-10
AI Software Engineer,61895.0,EN,CT,M,100,Master,1,Media,2024-11-20,5.2,CANADA,Entry (EN),1,Medium (M),2,2024,11,2024-11
AI Specialist,152626.0,MI,FL,L,0,Associate,2,Education,2025-03-18,9.4,SWITZERLAND,Mid (MI),2,Large (L),3,2025,3,2025-03
NLP Engineer,80215.0,SE,FL,M,50,PhD,7,Consulting,2024-12-23,8.6,INDIA,Senior (SE),3,Medium (M),2,2024,12,2024-12
AI Consultant,54624.0,EN,PT,S,100,Master,0,Media,2025-04-15,6.6,FRANCE,Entry (EN),1,Small (S),1,2025,4,2025-04
AI Architect,123574.0,SE,CT,M,50,Associate,7,Healthcare,2024-08-31,5.9,GERMANY,Senior (SE),3,Medium (M),2,2024,8,2024-08
Principal Data Scientist,79670.0,MI,FL,S,0,Associate,3,Gaming,2024-12-29,6.3,UNITED KINGDOM,Mid (MI),2,Small (S),1,2024,12,2024-12
NLP Engineer,70640.0,EN,FL,L,0,Master,0,Healthcare,2024-06-07,7.6,FRANCE,Entry (EN),1,Large (L),3,2024,6,2024-06
Data Analyst,160710.0,SE,CT,L,0,PhD,7,Government,2024-11-04,9.3,SINGAPORE,Senior (SE),3,Large (L),3,2024,11,2024-11
AI Software Engineer,102557.0,SE,PT,M,0,Master,5,Government,2024-10-20,5.8,AUSTRIA,Senior (SE),3,Medium (M),2,2024,10,2024-10
Autonomous Systems Engineer,102322.0,SE,PT,M,100,Associate,8,Telecommunications,2025-01-29,9.9,SWEDEN,Senior (SE),3,Medium (M),2,2025,1,2025-01
AI Architect,115047.0,EX,CT,S,0,Master,15,Manufacturing,2024-07-16,6.8,SOUTH KOREA,Expert (EX),4,Small (S),1,2024,7,2024-07
AI Consultant,124355.0,SE,CT,M,100,PhD,5,Automotive,2024-12-29,5.2,FRANCE,Senior (SE),3,Medium (M),2,2024,12,2024-12
Autonomous Systems Engineer,68760.0,EN,CT,S,0,Master,0,Energy,2024-02-11,9.1,NORWAY,Entry (EN),1,Small (S),1,2024,2,2024-02
AI Research Scientist,150122.0,SE,FT,M,100,Associate,6,Technology,2024-10-02,9.8,SWEDEN,Senior (SE),3,Medium (M),2,2024,10,2024-10
AI Product Manager,78846.0,EN,PT,L,0,PhD,0,Consulting,2024-09-28,9.6,UNITED KINGDOM,Entry (EN),1,Large (L),3,2024,9,2024-09
Principal Data Scientist,59823.0,EN,FT,L,100,Bachelor,1,Real Estate,2025-02-06,5.8,INDIA,Entry (EN),1,Large (L),3,2025,2,2025-02
Machine Learning Engineer,181139.0,EX,CT,L,100,Associate,15,Real Estate,2024-04-24,8.7,FRANCE,Expert (EX),4,Large (L),3,2024,4,2024-04
Data Engineer,155300.0,SE,CT,M,0,Associate,9,Finance,2024-04-30,8.6,SINGAPORE,Senior (SE),3,Medium (M),2,2024,4,2024-04
Research Scientist,93851.0,MI,PT,L,100,PhD,4,Transportation,2024-05-01,6.7,NETHERLANDS,Mid (MI),2,Large (L),3,2024,5,2024-05
Data Engineer,134197.0,MI,FT,M,0,Bachelor,3,Telecommunications,2024-06-21,9.6,NORWAY,Mid (MI),2,Medium (M),2,2024,6,2024-06
Autonomous Systems Engineer,102550.0,MI,PT,M,0,Bachelor,2,Automotive,2024-04-23,10.0,UNITED STATES,Mid (MI),2,Medium (M),2,2024,4,2024-04
ML Ops Engineer,99382.0,SE,CT,S,0,PhD,7,Automotive,2025-03-13,6.9,GERMANY,Senior (SE),3,Small (S),1,2025,3,2025-03
AI Product Manager,52167.0,MI,FT,M,100,Master,4,Telecommunications,2024-06-07,9.3,AUSTRIA,Mid (MI),2,Medium (M),2,2024,6,2024-06
ML Ops Engineer,53923.0,MI,FT,S,0,Bachelor,2,Healthcare,2024-10-27,7.4,CHINA,Mid (MI),2,Small (S),1,2024,10,2024-10
Robotics Engineer,109779.0,SE,PT,L,100,PhD,6,Government,2024-08-01,8.8,ISRAEL,Senior (SE),3,Large (L),3,2024,8,2024-08
ML Ops Engineer,80979.0,MI,CT,S,50,Master,2,Media,2024-11-18,7.7,AUSTRALIA,Mid (MI),2,Small (S),1,2024,11,2024-11
Data Analyst,52997.0,MI,PT,M,0,PhD,2,Government,2025-01-10,8.6,AUSTRIA,Mid (MI),2,Medium (M),2,2025,1,2025-01
Head of AI,42819.0,EN,CT,M,50,PhD,0,Healthcare,2024-10-08,8.6,IRELAND,Entry (EN),1,Medium (M),2,2024,10,2024-10
ML Ops Engineer,82083.0,MI,CT,L,100,Master,2,Retail,2024-01-18,6.3,ISRAEL,Mid (MI),2,Large (L),3,2024,1,2024-01
Head of AI,67488.0,EN,FT,M,100,Master,1,Retail,2024-05-16,6.0,NETHERLANDS,Entry (EN),1,Medium (M),2,2024,5,2024-05
Research Scientist,68624.0,EN,FT,M,0,Master,1,Real Estate,2024-01-31,9.2,DENMARK,Entry (EN),1,Medium (M),2,2024,1,2024-01
Robotics Engineer,146852.0,SE,FT,S,50,PhD,7,Real Estate,2024-08-28,5.3,SWITZERLAND,Senior (SE),3,Small (S),1,2024,8,2024-08
ML Ops Engineer,178183.0,EX,FL,M,0,Associate,16,Education,2024-03-01,5.7,FINLAND,Expert (EX),4,Medium (M),2,2024,3,2024-03
Deep Learning Engineer,150864.0,SE,FL,L,0,PhD,8,Consulting,2024-10-26,7.9,SWEDEN,Senior (SE),3,Large (L),3,2024,10,2024-10
Head of AI,126942.0,EX,CT,L,0,Associate,10,Finance,2024-01-31,9.9,FINLAND,Expert (EX),4,Large (L),3,2024,1,2024-01
AI Architect,53752.0,MI,PT,M,100,Associate,2,Telecommunications,2024-10-17,6.1,JAPAN,Mid (MI),2,Medium (M),2,2024,10,2024-10
Robotics Engineer,111381.0,EX,CT,S,0,Master,18,Government,2024-01-14,8.1,ISRAEL,Expert (EX),4,Small (S),1,2024,1,2024-01
AI Specialist,41430.0,EN,PT,M,50,Bachelor,1,Healthcare,2024-06-15,8.0,CHINA,Entry (EN),1,Medium (M),2,2024,6,2024-06
Data Engineer,166080.0,EX,FL,L,100,Associate,15,Government,2024-03-01,5.1,NETHERLANDS,Expert (EX),4,Large (L),3,2024,3,2024-03
Data Scientist,96956.0,MI,FT,M,0,Bachelor,2,Telecommunications,2024-02-24,5.3,UNITED STATES,Mid (MI),2,Medium (M),2,2024,2,2024-02
AI Architect,196954.0,SE,FL,L,50,Bachelor,8,Finance,2025-03-17,7.5,UNITED STATES,Senior (SE),3,Large (L),3,2025,3,2025-03
AI Specialist,56745.0,EN,PT,L,100,Associate,1,Telecommunications,2025-02-01,5.5,FINLAND,Entry (EN),1,Large (L),3,2025,2,2025-02
Machine Learning Researcher,113455.0,SE,FT,M,50,Associate,8,Retail,2024-04-24,8.0,SINGAPORE,Senior (SE),3,Medium (M),2,2024,4,2024-04
ML Ops Engineer,158808.0,SE,PT,M,50,Bachelor,5,Media,2025-03-03,7.4,NETHERLANDS,Senior (SE),3,Medium (M),2,2025,3,2025-03
AI Research Scientist,174663.0,SE,CT,M,50,Associate,7,Media,2024-01-10,5.4,UNITED STATES,Senior (SE),3,Medium (M),2,2024,1,2024-01
AI Research Scientist,46753.0,EN,CT,S,50,PhD,1,Manufacturing,2024-11-16,9.7,INDIA,Entry (EN),1,Small (S),1,2024,11,2024-11
AI Software Engineer,69020.0,MI,FL,L,0,Bachelor,4,Energy,2024-09-05,8.8,CHINA,Mid (MI),2,Large (L),3,2024,9,2024-09
AI Specialist,288815.0,EX,PT,S,0,Bachelor,12,Manufacturing,2024-08-08,7.2,SWITZERLAND,Expert (EX),4,Small (S),1,2024,8,2024-08
AI Consultant,124871.0,EX,FL,M,50,PhD,19,Media,2025-03-10,8.0,AUSTRIA,Expert (EX),4,Medium (M),2,2025,3,2025-03
AI Architect,70391.0,MI,FT,S,0,PhD,4,Government,2024-08-16,9.2,GERMANY,Mid (MI),2,Small (S),1,2024,8,2024-08
Research Scientist,115376.0,EX,FT,M,100,Master,17,Technology,2024-03-12,5.5,INDIA,Expert (EX),4,Medium (M),2,2024,3,2024-03
Research Scientist,106579.0,MI,PT,S,100,Associate,3,Gaming,2024-02-24,5.4,UNITED STATES,Mid (MI),2,Small (S),1,2024,2,2024-02
Data Scientist,135230.0,SE,PT,S,100,PhD,8,Consulting,2024-07-07,7.5,NORWAY,Senior (SE),3,Small (S),1,2024,7,2024-07
Research Scientist,67607.0,MI,PT,S,50,Master,4,Media,2024-08-05,8.6,ISRAEL,Mid (MI),2,Small (S),1,2024,8,2024-08
AI Architect,88470.0,MI,PT,L,0,Associate,3,Real Estate,2024-07-29,9.1,CANADA,Mid (MI),2,Large (L),3,2024,7,2024-07
Autonomous Systems Engineer,79863.0,MI,FL,L,100,Associate,4,Automotive,2024-09-28,5.6,INDIA,Mid (MI),2,Large (L),3,2024,9,2024-09
Machine Learning Engineer,60299.0,EN,PT,L,100,PhD,0,Finance,2025-03-22,6.6,ISRAEL,Entry (EN),1,Large (L),3,2025,3,2025-03
Machine Learning Engineer,85645.0,MI,FT,M,0,Associate,4,Transportation,2024-02-09,7.9,GERMANY,Mid (MI),2,Medium (M),2,2024,2,2024-02
AI Software Engineer,110222.0,SE,FL,S,0,Associate,8,Media,2024-03-20,9.0,UNITED KINGDOM,Senior (SE),3,Small (S),1,2024,3,2024-03
Data Scientist,49365.0,EN,FT,M,0,Associate,1,Finance,2024-06-22,10.0,CHINA,Entry (EN),1,Medium (M),2,2024,6,2024-06
Data Scientist,162296.0,SE,PT,S,50,Bachelor,6,Finance,2024-06-05,6.2,NORWAY,Senior (SE),3,Small (S),1,2024,6,2024-06
AI Consultant,102382.0,MI,PT,M,0,PhD,3,Education,2024-03-23,5.8,SWITZERLAND,Mid (MI),2,Medium (M),2,2024,3,2024-03
AI Software Engineer,99972.0,MI,PT,M,50,PhD,4,Technology,2024-02-20,6.5,AUSTRALIA,Mid (MI),2,Medium (M),2,2024,2,2024-02
Data Engineer,64129.0,EN,CT,L,0,Bachelor,0,Manufacturing,2024-12-15,7.1,SOUTH KOREA,Entry (EN),1,Large (L),3,2024,12,2024-12
AI Specialist,87938.0,SE,FT,S,100,PhD,8,Education,2024-12-15,8.1,IRELAND,Senior (SE),3,Small (S),1,2024,12,2024-12
Autonomous Systems Engineer,71405.0,MI,FL,L,0,Associate,4,Retail,2024-09-01,9.5,ISRAEL,Mid (MI),2,Large (L),3,2024,9,2024-09
Machine Learning Engineer,316182.0,EX,PT,M,0,Associate,12,Finance,2025-02-09,7.0,DENMARK,Expert (EX),4,Medium (M),2,2025,2,2025-02
Machine Learning Researcher,72459.0,EN,PT,M,100,Bachelor,0,Gaming,2024-08-30,9.6,GERMANY,Entry (EN),1,Medium (M),2,2024,8,2024-08
Principal Data Scientist,78338.0,MI,FT,L,100,Associate,3,Technology,2024-10-31,8.7,FRANCE,Mid (MI),2,Large (L),3,2024,10,2024-10
NLP Engineer,51907.0,MI,FL,M,100,Bachelor,4,Healthcare,2024-02-14,8.2,ISRAEL,Mid (MI),2,Medium (M),2,2024,2,2024-02
Autonomous Systems Engineer,122831.0,SE,FL,S,100,Master,7,Real Estate,2024-05-31,8.4,FRANCE,Senior (SE),3,Small (S),1,2024,5,2024-05
Machine Learning Researcher,124820.0,MI,FL,S,50,Associate,3,Real Estate,2024-08-02,9.9,NORWAY,Mid (MI),2,Small (S),1,2024,8,2024-08
Autonomous Systems Engineer,134200.0,SE,PT,S,50,PhD,9,Retail,2024-11-29,7.8,UNITED KINGDOM,Senior (SE),3,Small (S),1,2024,11,2024-11
Data Engineer,51920.0,EN,PT,S,100,PhD,0,Consulting,2025-04-08,7.9,SWEDEN,Entry (EN),1,Small (S),1,2025,4,2025-04
Data Engineer,56427.0,EN,FL,M,100,Master,0,Energy,2024-11-16,5.2,SINGAPORE,Entry (EN),1,Medium (M),2,2024,11,2024-11
AI Product Manager,213783.0,EX,FT,S,100,Bachelor,16,Energy,2024-09-19,9.2,CANADA,Expert (EX),4,Small (S),1,2024,9,2024-09
ML Ops Engineer,59728.0,MI,FL,M,50,Associate,2,Finance,2024-06-10,7.5,ISRAEL,Mid (MI),2,Medium (M),2,2024,6,2024-06
Computer Vision Engineer,119432.0,SE,CT,L,0,PhD,6,Technology,2024-04-20,6.3,INDIA,Senior (SE),3,Large (L),3,2024,4,2024-04
AI Research Scientist,284486.0,EX,CT,M,0,Master,12,Consulting,2025-02-13,7.0,UNITED STATES,Expert (EX),4,Medium (M),2,2025,2,2025-02
Data Analyst,157597.0,EX,CT,L,50,Bachelor,17,Manufacturing,2024-08-31,8.4,FRANCE,Expert (EX),4,Large (L),3,2024,8,2024-08
ML Ops Engineer,196942.0,EX,CT,L,100,Master,19,Gaming,2024-04-01,7.5,AUSTRALIA,Expert (EX),4,Large (L),3,2024,4,2024-04
Machine Learning Researcher,207548.0,EX,CT,M,0,PhD,10,Energy,2024-02-05,6.7,CANADA,Expert (EX),4,Medium (M),2,2024,2,2024-02
NLP Engineer,68838.0,MI,FL,S,50,PhD,3,Automotive,2024-06-20,7.4,SWEDEN,Mid (MI),2,Small (S),1,2024,6,2024-06
ML Ops Engineer,125666.0,EX,FL,L,100,PhD,13,Telecommunications,2024-06-19,8.4,FINLAND,Expert (EX),4,Large (L),3,2024,6,2024-06
NLP Engineer,73174.0,EN,FT,M,50,Associate,0,Finance,2024-07-14,6.4,DENMARK,Entry (EN),1,Medium (M),2,2024,7,2024-07
Autonomous Systems Engineer,33314.0,EN,CT,S,50,Bachelor,0,Manufacturing,2025-04-16,8.3,ISRAEL,Entry (EN),1,Small (S),1,2025,4,2025-04
AI Specialist,69914.0,EN,FT,S,100,Associate,0,Transportation,2025-02-15,7.0,UNITED STATES,Entry (EN),1,Small (S),1,2025,2,2025-02
Principal Data Scientist,152118.0,EX,FL,M,50,Master,11,Automotive,2024-05-20,6.9,FRANCE,Expert (EX),4,Medium (M),2,2024,5,2024-05
AI Software Engineer,78014.0,EN,CT,L,50,PhD,0,Real Estate,2024-11-19,6.8,FRANCE,Entry (EN),1,Large (L),3,2024,11,2024-11
Research Scientist,48466.0,EN,PT,S,100,Bachelor,0,Automotive,2025-03-10,5.7,CANADA,Entry (EN),1,Small (S),1,2025,3,2025-03
